"displayname","ou","dn","whenchanged","objectguid","syncattrs_hash","dn_hash","whencreated","placeholder"
B011L00主計室,B011L00,"OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:09,"33a07dfbaf409c4f834981b2e4825270",fe09570ccc860eebdbdcf6b37ede66f66c4e3288fc7b884f04d9fc208a2b413d,"0b8117e9f471779fec19007347a516ab0d2ba904718f9c005e825e42d3dc44af",2012-02-06 15:33:52,external
B011I00稅政發展科(停用),B011I00,"OU=B011I00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:08,"89c0bf75f552c445982e8185e9f3f695",d2d070901352af816873e0371671047fe9f544377da7695cf4eec0311e8879ae,f5f3959604033bbd5557944a443828357f683b672a53d29a5d5d022c172e2ade,2012-02-06 15:33:39,external
B011N00政風室,B011N00,"OU=B011N00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:11,ae234cd3aa0be742b3c6879358d80801,"278fde9f854cae3ec554829a321243bd85fa1141497e6c0b12bf4d4fd2334a4e","18ff8d5fe938129b43e4ba5bd3530ac345bfd566db1220858ff892a1490f433e",2012-02-06 15:34:02,external
B011R02綜所遺贈稅組個案調查股,B011R02,"OU=B011R02,OU=B011R00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:57,"93f9d22f68472a48942f7112d8879302",d84f9b1907cf7e85003376b78119400cdd4168058cc2cab1f7b76335a979946a,"684dfb55969469a01e3be69e73e487344ec698d4158b3679526db21d85731a1b",2012-02-06 15:34:21,external
B011R01綜所遺贈稅組綜合所得稅股,B011R01,"OU=B011R01,OU=B011R00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:57,"159768cad701474897b5cbad4b50e979","5048af185a9dd043e9dab0ac8f522c3d7fce7c2b707768d1359f346e269be44f","76072eecb4bf5c7f6fcc9d425b103cbddc3759b77ac4d589799aeee2fb0d7aec",2012-02-06 15:34:20,external
B011N01政風室一股,B011N01,"OU=B011N01,OU=B011N00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:44,c21f318a9320b844991ee27cbb07de3c,ea7fccf301d6bfa8ddf36d833c5ff94b7f4887ba1a3b8e675ce2ae4436635796,a3cc6553eeee4d4da19f63923de05a7f3fb8d790e496a48022a256ac740bc13c,2012-02-06 15:34:03,external
B011M01人事室組編人力股,B011M01,"OU=B011M01,OU=B011M00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:42,"22d9060faaf45445ac5af96f4a9cd0dd","53480e80ae57eeea33bb3553455f82522fdb0be6db49e05a346be2a280e1b5f6",d4bbdda437f2533c2d016be69331f7d57a8f5f5d5b7913153bcabaa07865a2d5,2012-02-06 15:33:59,external
B011M02人事室考核培訓股,B011M02,"OU=B011M02,OU=B011M00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:42,"80b5102be10b6a4da4c6e8e1dd0a321a","1b81c4976abff0c267a90f6da656f2a84e41b60311f062d87702600f694dea2e","1e79d21d1d27c9c59567d0a1b41dcabb131de7a1213e0d6e5fb55ffd9eefa46f",2012-02-06 15:34:00,external
B011Q00徵收及資訊組,B011Q00,"OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:12,bb14e18dce478241ad070d15b0d71e31,a37373dccd5d8294cd4a120775bf62f7cc39d48cb6a7b4004de301246eeb9cf1,e75452c20bf91ef0b90caeb3cee401f66c7cfe48acc630b5258a1344caa9a65e,2012-02-06 15:34:12,external
B011M03人事室給與福利股,B011M03,"OU=B011M03,OU=B011M00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:43,"867d2b8d6fb055489feb1c3cc085a94b",b2147cfe0886d363f1fe6ffeaaf3cde6d350f000d217ea1dc05f4ebac74abbfc,"7e3303c67ef09e3a175059a6ec47974ba5c6abd98621a0196cbe7f81571258d4",2012-02-06 15:34:01,external
